title,description,category,resolution,priority,request_type
Gradual Degradation in User Provisioning,"Over the past few days, we have noticed a gradual degradation in user provisioning through SAML integration with Active Directory. Users are unable to create new accounts or access their existing ones. The issue seems to be intermittent and occurs at random intervals.",Access Management,"1. Check Active Directory for any issues related to user permissions or group membership. Ensure that users have the necessary privileges to access the SAML-based authentication system. If necessary, add or modify permissions as needed. <br> 2. Verify that the SAML configuration in Active Directory is correct and up-to-date. Check for any typos or errors in the URLs, attribute mapping, or other settings. Ensure that the SAML provider is enabled and working properly. <br> 3. Test user provisioning by creating a new user account through an external identity provider (such as Google or Facebook) to see if it can be successfully integrated with Active Directory through SAML.",,
Erratic User Provisioning and Password Reset Issues,"We are experiencing recurring problems with user provisioning and password reset for certain users. Specifically, the following symptoms have been observed: 1) Erratic behavior in the Saml assertion process, causing user provisioning to fail on occasion; 2) Users are unable to reset their passwords through the self-service portal, resulting in help desk tickets being submitted for assistance.",Access Management,"To address this issue, we will investigate and implement the following fix steps: 1) Conduct a thorough review of our SAML configuration and processes to identify any potential sources of errors or inconsistencies; 2) Implement password complexity requirements and enforcing two-factor authentication for all user accounts; 3) Provide additional training and documentation for users on how to properly reset their passwords through the self-service portal. These steps should help resolve the recurring issues we are experiencing with user provisioning and password resets.",,
Recurring Permission Denied Issue with SAML and Directory sync,The issue has been reported that users are experiencing a permission denied error when trying to access the company directory through single sign-on (SSO) using SAML. This is a recurring problem that keeps coming back.,Access Management,1. Verify that all SAML configurations are up to date and correctly configured. 2. Check for any recent changes or updates made to the directory service. 3. Verify that the user has the correct permissions to access the desired resources through SAML.,,
Recurring Permission Denied Issue in SAML Directory Authentication,The user is experiencing recurring permission denied issues when attempting to access certain resources using SAML directory authentication. The issue appears to be related to the permissions assigned to the user's account.,Access Management,"[""Review and verify the user's account permissions in the directory to ensure they have the necessary access to the resource"", ""Check for any conflicts or inconsistencies with other accounts that may be impacting the user's permissions"", ""If necessary, update the user's account permissions to grant them access to the resource"", 'Perform additional testing to ensure the issue has been resolved and the user is able to access the resource successfully']",,
Gradual Degradation in Active Directory User Provisioning and SAML Assertion,"There have been reports of delayed user provisioning in our Active Directory system. Additionally, some users are experiencing issues with SAML assertion. The issue appears to be gradual and has been occurring over days.",Access Management,"['Check the Active Directory logs for any errors or warnings related to user provisioning and SAML assertion.', 'Verify that the Active Directory server is configured correctly and that all necessary components are functioning properly.', 'Check the firewall settings to ensure that they are not blocking incoming traffic related to SAML assertion.', 'Review the SAML configuration on the identity provider and verify that it is properly configured.', 'If possible, attempt to reproduce the issue in a test environment to isolate and troubleshoot the root cause.']",,
Intermittent Active Directory Authentication Issues with SAML Assertion and LDAP Sync,"User is experiencing intermittent authentication issues when attempting to log into company applications using their Active Directory credentials. The issue seems to come and go, making it difficult for the user to consistently access their accounts. When this issue occurs, the user is prompted with an error message stating that their SAML assertion has failed or that there are syncing issues with Active Directory and LDAP.",Access Management,['Check if the Active Directory server is down or experiencing any connectivity issues.'],,
Access Management Issue - Permission Denied,"A user is experiencing intermittent issues with accessing their account, resulting in permission denied messages.",Access Management,"1. Check the user's permissions and ensure that they have been granted the necessary access to the affected resources. 
2. Verify that the SAML assertion has been processed correctly and that there are no errors or issues with the authentication process. 
3. Clear any browser cache or cookies that may be causing the issue. 
4. If the above steps do not resolve the issue, please contact the Access Management team for further assistance.",,
Intermittent LDAP Sync Issues,The LDAP sync between the Active Directory server and our internal systems has been delayed and causing recurring issues with user provisioning.,Access Management,"1. Verify that the LDAP sync credentials are correct and up-to-date.
2. Check for any firewall or network configuration issues that may be blocking the LDAP sync process.
3. Run a full LDAP sync to ensure all changes have been synced properly.
4. Monitor the LDAP sync logs for any errors or warnings that may indicate an issue with the sync process.
5. If necessary, adjust the LDAP sync schedule to minimize disruptions during peak usage periods.",,
Recurring user provisioning delay issue,User provisioning through LDAP sync has been experiencing recurring delays that result in the user being unable to access their account after they are created or modified.,Access Management,1. Verify that the LDAP server is properly configured and reachable from the Access Management system. 2. Investigate any potential network latency issues between the two systems. 3. Review the LDAP sync process to ensure it is functioning as expected and there are no errors or bugs causing delays. 4. Consider implementing a failover mechanism to prevent downtime in case of any issues with the primary LDAP server.,,
Intermittent Active Directory LDAP Sync Issues,The organization is experiencing intermittent issues with Active Directory LDAP sync. Users are reporting that their accounts are becoming inactive and that the LDAP assertion process is not working properly.,Access Management,"To resolve this issue, please follow these steps: 
1. Verify that the Active Directory LDAP server is reachable from the client machine using a tool such as ping or traceroute.
2. Check the event logs on the Active Directory LDAP server for any error messages related to the assertion process or sync issues.
3. Ensure that the active directory domain services (AD DS) role is installed and configured properly on the LDAP server.
4. Make sure that the recurring LDAP sync task is running and scheduled correctly in Active Directory Services Manager (ADDSM).
5. If the issue persists, please consult with a certified Active Directory specialist for further assistance.",,
