title,description,category,resolution,priority,request_type
dhcp lease issue,monitoring flagged dhcp lease unresponsive; dns resolution intermittent for the team; dhcp lease intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease fault,dhcp lease degraded; wifi recurring across several users; dhcp lease flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution alert,we are seeing dns resolution delayed; packet loss recurring during the night shift; dns resolution failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss fault,tracking packet loss unresponsive; routing table failing in production; packet loss unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet alert,tracking subnet stalling; firewall rule degraded for the team; subnet degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan fault,users report vlan unresponsive; mtu failing during the night shift; vlan erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution ticket,we are seeing dns resolution recurring; gateway stalling for the team; dns resolution recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel alert,users report vpn tunnel unresponsive; dhcp lease degraded during the night shift; vpn tunnel intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet case,noticed that subnet stalling; routing table unstable at multiple sites; subnet stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease case,we are seeing dhcp lease degraded; subnet recurring in one department; dhcp lease unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table ticket,routing table delayed; switch port intermittent at multiple sites; routing table stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu request,users report mtu stalling; vpn tunnel flapping at multiple sites; mtu unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth ticket,escalated because bandwidth intermittent; wifi erratic in one department; bandwidth flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet alert,tracking subnet delayed; firewall rule delayed during the night shift; subnet unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan alert,vlan delayed; packet loss erratic for the team; vlan degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule alert,tracking firewall rule flapping; dhcp lease recurring during the night shift; firewall rule degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth fault,users report bandwidth unresponsive; routing table delayed in a branch office; bandwidth failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency ticket,monitoring flagged latency degraded; dhcp lease unresponsive after the upgrade; latency flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel case,users report vpn tunnel unresponsive; wifi delayed in a branch office; vpn tunnel unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu fault,noticed that mtu recurring; dhcp lease intermittent in one department; mtu unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway fault,escalated because gateway failing; latency recurring across several users; gateway stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution request,we are seeing dns resolution unresponsive; vlan intermittent for the team; dns resolution failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution report,monitoring flagged dns resolution degraded; wifi delayed after the upgrade; dns resolution unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway ticket,we are seeing gateway delayed; firewall rule recurring at multiple sites; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi report,escalated because wifi stalling; subnet erratic for the team; wifi delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss issue,we are seeing packet loss stalling; mtu failing at multiple sites; packet loss recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel case,vpn tunnel failing; dns resolution intermittent in production; vpn tunnel degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution alert,monitoring flagged dns resolution unresponsive; gateway erratic after the upgrade; dns resolution intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss report,users report packet loss flapping; latency intermittent during the night shift; packet loss degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan report,vlan erratic; switch port failing during the night shift; vlan degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi request,we are seeing wifi degraded; vlan intermittent after the upgrade; wifi intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule alert,users report firewall rule unresponsive; switch port erratic after the upgrade; firewall rule intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency issue,users report latency failing; gateway delayed at multiple sites; latency failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule report,firewall rule erratic; switch port intermittent in one department; firewall rule flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port report,tracking switch port unresponsive; vpn tunnel erratic after the upgrade; switch port unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule ticket,firewall rule intermittent; packet loss failing in production; firewall rule recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,monitoring flagged vpn tunnel erratic; mtu delayed across several users; vpn tunnel delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway request,users report gateway unstable; dns resolution degraded at multiple sites; gateway recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port fault,switch port intermittent; dns resolution recurring for the team; switch port recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port fault,ongoing switch port recurring; dhcp lease delayed at multiple sites; switch port stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease ticket,monitoring flagged dhcp lease intermittent; wifi unresponsive in a branch office; dhcp lease flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table request,users report routing table degraded; vlan failing for the team; routing table erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway fault,users report gateway unresponsive; packet loss unstable at multiple sites; gateway stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan alert,vlan erratic; subnet delayed in a branch office; vlan unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease alert,monitoring flagged dhcp lease unresponsive; dns resolution degraded in a branch office; dhcp lease degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet alert,escalated because subnet stalling; bandwidth intermittent in a branch office; subnet unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu issue,mtu flapping; vpn tunnel unresponsive in production; mtu failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
